word,unigram
source,7.21e-05
sauce,1.1e-05
paste,3.65e-06
pays,1.18e-05
espresso,2.03e-07
express,3.9e-05
scents,1.62e-06
sense,0.000171677
prophet,8.86e-06
profit,5.78e-05
pi,2.04e-05
pie,1.61e-05
knead,3.97e-07
need,0.000530788
oar,1.51e-06
or,0.004305488
tiers,1.48e-06
tears,1.54e-05
poll,3.91e-05
pole,1.56e-05
bored,8.51e-06
board,0.000352928
greece,3.54e-05
grease,5.21e-06
sine,2.41e-06
sign,0.000402674
principal,4.65e-05
principle,2.76e-05
cd,0.000317184
seedy,4.79e-07
hare,3.29e-06
knotty,3.37e-07
naughty,1.14e-05
taut,6.1e-07
taught,2.67e-05
marx,5.13e-06
marks,3.28e-05
hi,0.000112287
high,0.000574063
daze,1.21e-06
days,0.000507135
prose,5.14e-06
pros,1.39e-05
plane,2.96e-05
plain,3.95e-05
dam,1.53e-05
damn,1.83e-05
hertz,2.91e-06
hurts,4.91e-06
role,0.000122463
roll,5.08e-05
collar,1.25e-05
caller,8.01e-06
steal,1.04e-05
steel,8.22e-05
dye,7.59e-06
die,7.77e-05
waist,8.33e-06
waste,6.83e-05
feet,9.5e-05
feat,8.92e-06
aloud,6.22e-06
allowed,7.4e-05
pail,9.02e-07
pale,9.34e-06
manor,1.18e-05
manner,4.7e-05
cache,2.14e-05
cash,5.62e-07
reign,5.83e-06
rain,4.39e-05
thyme,1.67e-06
time,0.001510206
pore,2.14e-06
poor,7.99e-05
gilt,1.92e-06
guilt,6.02e-06
err,6.89e-06
son,9.66e-05
sun,0.000201461
c's,3.23e-05
seas,8.74e-06
what,0.001350155
razor,5.76e-06
raiser,1.43e-06
knot,4.95e-06
not,0.004376542
wood,8.5e-05
would,0.000951675
grader,1.51e-06
grater,3.57e-07
eye,8.76e-05
i,0.005128923
cell,0.000187912
sell,0.000228838
scent,5.45e-06
cent,5.12e-05
course,0.00029578
coarse,4.6e-06
deer,1.66e-05
dear,3.43e-05
bee,1.44e-05
be,0.003986382
brake,1.55e-05
break,8.52e-05
flour,2.47e-07
flower,9.7e-05
fare,9.89e-06
fair,8.23e-05
heel,9.09e-06
heal,6.27e-06
hymn,2.8e-06
him,0.000364825
no's,7.3e-06
knows,4.1e-05
inn,0.000109712
in,0.014075099
idol,9.25e-06
idle,9.84e-06
maid,7.06e-06
made,0.000477562
nun,2.58e-06
none,0.000142145
mourning,2.79e-06
morning,8.88e-05
meat,2.93e-05
meet,0.000155019
reel,1.11e-05
real,0.000494745
pear,7.19e-06
pair,4.33e-05
pray,1.42e-05
prey,5.71e-06
root,6.95e-05
route,5.23e-05
flours,2.47e-07
