idx,sentenceID,punType,sentenceType,ambiguity,distinctiveness,sentence
44,41,identical,pun,0.011626049,10.14661449,"Boyscouts know which ropes to tie and what #knot.  "
45,146,identical,nonpun,1.71E-05,8.500085904,"It's easy to tie a double #knot."
46,118,identical,nonpun,0.003245546,6.633093704,"That cabin is made of #knotty pine."
47,228,identical,nonpun,1.37E-11,6.938803918,"You #made that cake all by yourself?"
48,163,identical,nonpun,0.003686083,7.41115933,"I hired a #maid to clean."
49,185,identical,nonpun,3.09E-12,7.729559773,"She got high #marks in high school."
50,231,identical,nonpun,1.40E-10,7.300831552,"The two pen pals were finally able to #meet."
51,230,identical,nonpun,3.94E-12,8.97436184,"I woke up in the #morning and the sun was shining."
52,165,identical,nonpun,6.86E-08,7.87427386,"We were in #mourning after our loved one died."
53,183,identical,nonpun,1.60E-13,6.89606195,"That boy is a #naughty child."
54,173,identical,nonpun,5.04E-11,6.706425423,"The company has a #need for computer programmers."
55,229,identical,nonpun,3.01E-08,6.571686687,"#None of it made any sense."
56,211,identical,nonpun,2.35E-13,6.520652202,"Let's do this at but #not that."
57,59,identical,pun,0.000294404,7.775229953,"When the new church opened #nun of us cared."
58,164,identical,nonpun,2.50E-05,7.412857514,"The #nun was very pious and kind."
59,109,identical,nonpun,0.002585664,8.907171096,"The fisherman dipped the #oar in the river."
60,174,identical,nonpun,2.36E-14,6.5027308,"Take care of your car #or else you will have problems."
61,29,identical,pun,4.79E-05,7.260668985,"Those who carry too many buckets start feeling #pail."
62,233,identical,nonpun,2.02E-11,8.883602744,"I have a #pair of matching socks."
63,168,identical,nonpun,0.000105404,7.625325889,"She ate a #pear and two apples."
64,63,identical,pun,5.98E-05,7.881750796,"If I were brave enough to be a fruit farmer I would grow a #pear."
65,107,identical,nonpun,1.06E-08,8.615058365,"He can recite the number #pi up to ten decimal places."
66,172,identical,nonpun,5.34E-12,8.756757189,"Would you like some apple #pie for dessert?"
67,189,identical,nonpun,4.67E-06,6.700720371,"She felt #plain next to her beautiful sister."
68,124,identical,nonpun,8.91E-12,8.175833405,"Our #plane landed at the airport."
69,204,identical,nonpun,1.59E-13,7.464894545,"That family is so #poor they cannot afford to buy food."
70,169,identical,nonpun,1.06E-07,7.762271973,"It is customary for Christians to #pray before bed."
71,171,identical,nonpun,3.25E-10,9.855017024,"That business made one million dollars in #profit last year."
72,188,identical,nonpun,2.90E-11,7.592022836,"What are the #pros and cons of social networking sites?"
73,123,identical,nonpun,1.71E-09,8.453785015,"Novels and essays are written in #prose."
74,210,identical,nonpun,2.10E-10,7.325816025,"That girl organized a fund #raiser at her local church."
75,145,identical,nonpun,1.13E-10,9.034347045,"He used a #razor to shave his beard."
76,232,identical,nonpun,5.20E-13,8.095731516,"That diamond is not #real; it is just a very good counterfeit. "
77,167,identical,nonpun,0.023583256,7.44613112,"You need to #reel in the fish."
78,137,identical,nonpun,4.85E-11,8.625482744,"The king's #reign ended and his heir took over."
79,170,identical,nonpun,2.35E-10,7.409773084,"He tripped over a tree's #root."
80,235,identical,nonpun,8.42E-08,8.116457162,"Take the faster #route on your way home."
81,151,identical,nonpun,3.13E-08,6.886173055,"That #scent is unpleasant."
82,208,identical,nonpun,4.60E-17,9.109011602,"The ship is in the mid-atlantic on the high #seas."
83,181,identical,nonpun,6.75E-06,7.403779246,"The #seedy bar was full of drunken and unwashed people."
84,215,identical,nonpun,5.81E-10,7.843136944,"I must #sell my car for a good price."
85,179,identical,nonpun,7.32E-11,8.133931764,"The #sign on our store says the clothes boutique."
86,37,identical,pun,0.000136628,7.751143546,"When their boy was little they only got rest after #son down."
87,142,identical,nonpun,4.13E-07,7.711848444,"They have a #son and a daughter."
88,24,identical,pun,0.09359546,7.630219885,"Thieves have muscles of #steal."
89,129,identical,nonpun,1.13E-05,6.999430416,"The little boy wanted to #steal his friend's candy but decided not to."
90,194,identical,nonpun,2.33E-09,7.048384408,"That ship is made of wood and #steel."
91,207,identical,nonpun,6.37E-11,9.807420023,"The #sun rises every morning and sets every evening."
92,184,identical,nonpun,9.33E-16,8.714812105,"She #taught mathematics to college students."
93,119,identical,nonpun,2.44E-06,7.042861733,"The clothesline hangs #taut between two poles."
94,175,identical,nonpun,2.74E-16,8.858741533,"#Tears ran down her cheeks as she watched a sad movie."
95,110,identical,nonpun,0.000314724,7.664888117,"Boxes are stacked in #tiers in the warehouse."
96,203,identical,nonpun,2.03E-13,7.521260253,"We have #time to have lunch before the meeting."
97,131,identical,nonpun,9.95E-10,8.06899465,"She must have a small #waist; look how tiny her belt is!"
98,196,identical,nonpun,4.52E-11,6.859974111,"Dealing with him is a #waste of time."
99,144,identical,nonpun,2.86E-09,10.65041938,"My desk lamp uses a sixty #watt light bulb."
100,209,identical,nonpun,1.04E-10,6.575531832,"The teacher told the students #what to do."
101,147,identical,nonpun,0.000117727,7.990020184,"We get our #wood from trees."
102,212,identical,nonpun,4.29E-15,7.036866851,"Her father #would not let her go to the party."
103,282,near,nonpun,0.000435465,6.980912762,"My back is aching from too much sitting."
104,209,near,nonpun,0.247489188,7.145014052,"An alp is a very high mountain."
105,166,near,nonpun,0.037580614,8.214624238,"The ambiance in that hotel is one of warmth and charm."
106,246,near,nonpun,7.43E-14,8.075535661,"An ambulance came to the car accident in two minutes."
107,284,near,nonpun,1.80E-06,7.292625432,"We made an offer to buy a house, but the owner upped the ante."
108,310,near,nonpun,6.43E-09,6.7852813,"She has a good attitude toward work"
109,204,near,nonpun,7.09E-09,7.446218345,"My Auntie Betty is my mother's sister."
110,236,near,nonpun,1.97E-06,7.154944977,"Cervantes is one of the most famous authors in the Spanish language."
111,261,near,nonpun,2.47E-09,8.721036253,"He posted $5,000 bail for his brother's release from jail.�"
112,211,near,nonpun,3.74E-08,8.003499886,"I like to eat lima beans and black beans."
113,291,near,nonpun,1.79E-14,6.644210172,"It has been a long time since we saw each other."
114,176,near,nonpun,0.000274286,7.280191604,"Our apple tree was in bloom last week.�"
115,181,near,nonpun,6.97E-08,8.271135941,"He reads braille with his fingertips."
116,303,near,nonpun,4.39E-09,7.826566127,"Trains go across a bridge over the river."
117,245,near,nonpun,2.33E-08,8.009095196,"The chairman made some closing remarks at the end of the meeting."
118,165,near,nonpun,1.29E-08,6.869056573,"Food and clothing are basic necessities."
119,215,near,nonpun,0.002486004,6.505924349,"He is often a crank in the morning."
120,314,near,nonpun,1.79E-10,7.027548211,"Butter is made from cream."
121,263,near,nonpun,1.17E-13,9.640819287,"The police fight crime, murder, theft, and drug dealing."
122,233,near,nonpun,2.80E-06,7.387743835,"She has good digestion; she can eat anything!"
123,221,near,nonpun,1.97E-06,8.159516292,"Dublin is the capital of Ireland."
124,208,near,nonpun,4.79E-06,6.871386546,"Eire is a former name for the Republic of Ireland."
125,48,near,pun,0.000218222,6.881025121,"People have a happy time vacationing in Ireland because they are walking on Eire."
126,319,near,nonpun,3.55E-14,7.16766784,"She should learn to express her feelings better."
127,288,near,nonpun,2.48E-07,6.962797041,"We sat around the fire to keep warm."
128,285,near,nonpun,3.63E-13,7.070110172,"No one knows what will happen in the future."
129,229,near,nonpun,1.54E-08,7.723456285,"Her jewels were glittering in the sun."
130,219,near,nonpun,0.00080241,7.712814883,"That sentence has an unusual grammatic structure."
131,23,near,pun,0.107385977,7.428136967,"For children to eat without washing their hands would be a grime."
132,290,near,nonpun,4.71E-05,7.01112769,"The dog was just guarding his house; he didn't mean to scare you."
133,289,near,nonpun,1.08E-13,8.08377845,"I gave my friend some help with her homework."
134,220,near,nonpun,0.072552768,6.633253329,"The hosta is a beautiful plant."
135,300,near,nonpun,3.48E-13,7.014951459,"That driver has a hostile attitude."
136,207,near,nonpun,1.53E-12,6.737605087,"Our house is located on the corner."
137,287,near,nonpun,0.288990428,6.598232201,"He asked her how's everything going."
138,307,near,nonpun,5.14E-11,6.988497882,"Insider trading can get you into a lot of trouble."
139,189,near,nonpun,3.47E-08,7.099311044,"Kant was a German philosopher."
140,29,near,pun,1.36E-06,6.715207455,"I need to do my philosophy homework but I just Kant."
141,296,near,nonpun,0.00028934,7.263449408,"There was a lag in communications, so he did not hear the news until many days later."
142,271,near,nonpun,2.43E-09,6.59988367,"She was late for our meeting."
143,15,near,pun,1.86E-05,7.921266658,"Astronauts like to do launch."
144,255,near,nonpun,1.03E-09,7.199189844,"I had a sandwich for lunch."
145,169,near,nonpun,0.148696263,7.805775387,"I have a math exam today at school."
146,232,near,nonpun,0.000474443,7.416623965,"She wore a scarf around her neck."
147,312,near,nonpun,2.41E-12,6.598682276,"The next time that you're late, you'll be in trouble."
148,188,near,nonpun,0.000461137,7.282011541,"Ohms are used to measure electrical resistance."
149,180,near,nonpun,0.050609699,7.770544494,"The mouth is an orifice."
150,78,near,pun,0.004181878,6.75247164,"When you use glue in class it paste to be careful."
151,238,near,nonpun,0.000114921,6.632627143,"She used paste to put pictures in her notebook."
152,318,near,nonpun,2.44E-09,7.569322474,"That company pays its employees every two weeks."
153,167,near,nonpun,0.001125888,7.587209371,"Pigeons use the sunny sides of roofs as perches."
154,264,near,nonpun,7.19E-08,7.870709813,"Smallpox left him with many pock marks."
155,302,near,nonpun,2.53E-13,7.100379481,"He was sent to prison for robbing a bank."
156,194,near,nonpun,6.80E-10,8.471109022,"He burns propane gas in his stove."
157,234,near,nonpun,4.61E-06,7.93035386,"Our office uses 20 reams of paper each week."
158,8,near,pun,0.035565459,6.621296607,"A pun is its own reword."
159,179,near,nonpun,0.010259748,6.643471138,"The dog's salivation was all over the carpet."
160,187,near,nonpun,7.60E-07,6.677698224,"She started screaming when the man pulled out a knife."
161,267,near,nonpun,1.37E-05,7.259219967,"They went to the movie screening together."
162,237,near,nonpun,1.40E-06,6.800916004,"The source of our difficulties is not having enough money."
163,252,near,nonpun,6.35E-13,7.508860233,"A birthday party is a special occasion."
164,250,near,nonpun,0.001805474,6.806573216,"A steeler is something that is covered in steel."
165,277,near,nonpun,1.71E-06,7.53597201,"I was talking to my friend the whole time."
166,190,near,nonpun,0.00682101,7.037631528,"The barista used a tamper to press down the coffee."
167,286,near,nonpun,1.33E-12,7.381028579,"She tells a story to her child each night."
168,206,near,nonpun,6.44E-07,7.888977522,"Farmers till the soil in the springtime.�"
169,46,near,pun,0.02639682,7.864119172,"On organic farms they till it like it is."
170,298,near,nonpun,3.97E-10,7.358642283,"The car accident was a very traumatic experience for her."
171,299,near,nonpun,7.80E-13,7.813629609,"That traumatic incident left her scarred."
172,242,near,nonpun,3.85E-10,6.554808431,"She always speaks the truth."
173,273,near,nonpun,0.000481034,7.348628335,"I twisted two pieces of thread on a needle."
174,251,near,nonpun,7.79E-09,6.575611402,"A wicked man took the child from his parents."
175,171,near,nonpun,3.94E-05,6.987420997,"That chair is made of wicker."
176,196,near,nonpun,1.85E-06,7.898201561,"Some people eat yams with their turkey."
177,27,identical,pun,0.000134488,8.382888756,"Being able to fit size fourteen shoes is quite a #feet."
178,13,identical,pun,0.503261117,7.140213697,"The young pine sapling was admonished by his father. Apparently he had been #knotty."
179,154,identical,nonpun,1.74E-08,8.884816925,"He tried to steal honey but was stung by an angry #bee."
180,160,identical,nonpun,0.000331957,6.651036423,"I answered with a string of #no's."
181,42,identical,pun,8.58E-05,8.494956658,"If you could ask someone anything about trees what #wood you ask?"
182,18,identical,pun,0.020799649,7.68802995,"Authors in jail have their #prose and cons."
183,34,identical,pun,0.010891636,8.005877033,"If you say you have bad skin I would say that was a #pore excuse."
184,122,identical,nonpun,0.000552088,6.872994824,"She was in a #daze after learning the bad news."
185,3,identical,pun,0.337971491,9.024058067,"Bakers trade bread recipes on a #knead to know basis."
186,20,identical,pun,0.000570441,7.109336227,"I saw a beaver movie last night. It was the best #dam movie I have ever seen."
187,125,identical,nonpun,4.53E-10,7.973720182,"That beaver is building a #dam with logs and sticks."
188,62,identical,pun,0.53860296,7.788803213,"The fisherman couldn't believe what he caught; he didn't think it was #reel."
189,180,identical,nonpun,1.57E-05,6.572916007,"I believe in the #principle of physics."
190,55,identical,pun,5.15E-06,6.650279278,"Mother #no's best."
191,106,identical,nonpun,2.81E-07,8.198023869,"Daniel is a biblical #prophet known for interpreting dreams."
192,64,identical,pun,0.628940161,8.061303768,"All the birds in the parish were birds of #pray."
193,32,identical,pun,4.60E-06,9.873175397,"Britain is a wet place since the queen has had a long #reign."
194,51,identical,pun,0.007827198,9.949411942,"The pastry chef brought his girlfriend #flours on Valentine's Day."
195,158,identical,nonpun,7.93E-07,7.152105633,"His #heel was bruised from walking too much."
196,111,identical,nonpun,4.77E-08,8.570398826,"Pollsters conducted a #poll on the popularity of the political candidates."
197,26,identical,pun,0.366910163,8.251547212,"A cardboard belt would be a #waist of paper."
198,50,identical,pun,0.016026313,6.650513451,"You should run really fast but be careful not to #brake anything."
199,155,identical,nonpun,0.028660944,7.380715974,"Cars should #brake slowly."
200,30,identical,pun,0.250279461,7.931581727,"A man's home is his castle in a #manor of speaking."
201,7,identical,pun,0.612586713,8.201499454,"At some executive meetings there is a chairman of the #bored."
202,43,identical,pun,0.514485536,9.271663968,"The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grader."
203,213,identical,nonpun,1.27E-11,7.679914615,"The cheese #grater slices the cheese."
204,31,identical,pun,7.20E-06,9.087045772,"An online poker tournament ended suddenly when the computer #cached in its chips."
205,4,identical,pun,0.00017404,10.69202993,"The indecisive rower could not choose either #oar."
206,159,identical,nonpun,8.83E-07,7.780690993,"We sang a #hymn in church."
207,2,identical,pun,0.001506356,6.565473655,"I get my large circumference from too much #pi."
208,202,identical,nonpun,7.70E-12,6.668533244,"#Rain fell on the city last night."
209,15,identical,pun,0.00064672,7.548535386,"I dropped out of communism class because of lousy #Marx."
210,134,identical,nonpun,4.69E-06,7.541922465,"A worker filled a #pail with water to clean the floor."
211,35,identical,pun,0.377660188,7.098668565,"People who like gold paint have a #gilt complex."
212,46,identical,pun,0.000189526,9.4894006,"It will cost you more than a #scent to get rid of that smell."
213,65,identical,pun,0.01075456,9.008840066,"If you want to make it all the way to a tree farm you had better take a different #root."
214,10,identical,pun,0.000881847,6.779812902,"It was not school john disliked. It was just the #principal of it."
215,8,identical,pun,1.09E-07,6.828394652,"Did you know that donuts were first made in #Greece?"
216,226,identical,nonpun,6.68E-10,7.592880995,"Come #in the room and close the door."
217,192,identical,nonpun,0.000133559,6.64635661,"She bought a #roll of silk to make a dress."
218,234,identical,nonpun,1.19E-11,7.41972238,"That mouse could easily be the eagle's #prey."
219,5,identical,pun,0.032162791,7.886671893,"It was an emotional wedding. Even the cake was in #tiers."
220,33,identical,pun,0.525478566,9.345212196,"Herb gardeners who work extra get #thyme and a half."
221,19,identical,pun,0.443844415,7.771613141,"Do not expect to eat something fancy when you are flying because it is #plane food."
222,176,identical,nonpun,2.39E-06,6.841219511,"She raised a flag up the #pole. "
223,6,identical,pun,0.003726678,7.40744249,"A new country decided to conduct a flag #poll."
224,200,identical,nonpun,1.10E-07,6.503040766,"There was all #manner of food at the party."
225,140,identical,nonpun,0.000286981,6.500993124,"She covered the frame with #gilt."
226,114,identical,nonpun,1.33E-06,6.857230986,"In mathematics the #sine function is a function of an angle."
227,40,identical,pun,0.30430949,8.19911871,"When the mayor wanted to slash the budget he turned to a fund #razor."
228,120,identical,nonpun,1.68E-08,8.232053114,"Karl #Marx was a german philosopher."
229,61,identical,pun,0.47522548,7.806516202,"The butcher was very glad we could #meat."
230,25,identical,pun,0.332494518,8.034150507,"When an actress saw her first strands of gray hair she thought she would #dye."
231,143,identical,nonpun,0.331988908,7.419129677,"It is hard even for a soprano to sing the high #C's."
232,38,identical,pun,0.338632716,8.597402811,"Novice pirates make terrible singers because they cannot hit the high #Cs."
233,115,identical,nonpun,5.26E-06,6.663071164,"Ms. Wu is the #principal of our local high school."
234,36,identical,pun,0.129546402,6.502385998,"To #heir is human."
235,23,identical,pun,0.639606129,8.885508503,"The man put his name on the neck of his shirt so he would have #collar ID."
236,53,identical,pun,0.019716862,7.731146286,"He injured his foot and now it just won't #heel."
237,45,identical,pun,7.71E-05,7.960003916,"We didn't know whether to keep our biology program or #cell it."
238,156,identical,nonpun,0.107220585,7.309438126,"We use different kinds of #flours in baking."
239,39,identical,pun,0.452555502,10.48685459,"An electrician is a bright spark who knows what's #watt."
240,14,identical,pun,0.193825182,8.02935767,"To learn rope tricks you have to be #taut."
241,166,identical,nonpun,1.70E-06,6.926930325,"Vegetarians don't like #meat."
242,239,near,nonpun,0.691307649,6.722702217,"I like an espresso after dinner."
243,108,identical,nonpun,0.00077876,9.629501827,"Bakers #knead flour and milk together to make bread dough."
244,138,identical,nonpun,0.011927642,8.076186053,"One of my favorite meals is chicken in a creamy sauce flavored with #thyme."
245,177,identical,nonpun,1.37E-15,7.900379823,"He has a meeting with the company's #board of directors."
246,22,identical,pun,1.19E-06,7.458384594,"The actors had one great movie after another. They were on a #role."
247,1,identical,pun,0.616718652,7.328440414,"Atheism is a non #prophet organization."
248,130,identical,nonpun,0.003963874,8.233556403,"Some people do not like to #dye their hair."
249,135,identical,nonpun,1.17E-06,7.59532797,"Those wealthy people live in a huge #manor."
250,228,near,nonpun,0.044307926,7.974604118,"The mimes were very skilled at imitating people."
251,54,identical,pun,0.279216917,7.905868972,"I wrote a song about my priest so that I could perform it for #hymn."
252,220,identical,nonpun,1.07E-12,6.952926312,"#Break a leg on your performance."
253,48,identical,pun,0.125129274,6.589144829,"Our pet is very #deer to us."
254,127,identical,nonpun,5.16E-12,7.381581608,"She plays the leading #role in a television show."
255,259,near,nonpun,8.14E-09,7.197721648,"The minister prayed for the evil woman's salvation."
256,9,identical,pun,0.096802699,7.050323857,"I always prayed before my trigonometry tests. I was hoping for a #sine from above."
257,12,identical,pun,0.147522507,7.86681684,"The magician got so mad he pulled his #hare out."
258,47,identical,pun,2.13E-05,7.875646407,"I tried to stick with the rough class but it was just too #course for my liking."
259,17,identical,pun,0.506137575,7.978207011,"A teacher having a tough time longs for the end of the school #daze."
260,199,identical,nonpun,2.28E-12,6.877170243,"She looks #pale and sick."
261,139,identical,nonpun,0.002220325,8.776241475,"A #pore is a very small opening on the surface of your skin."
262,56,identical,pun,0.231152268,7.997823476,"When I stayed at the hotel I made sure I didn't sleep #inn."
263,161,identical,nonpun,0.002207682,6.538664169,"We stayed at an #inn."
264,57,identical,pun,0.001317159,8.064894649,"We spent some time looking for the celebrity before she realized she didn't want to #idol."
265,269,near,nonpun,6.59E-07,6.595105263,"I can't remember the last time that happened."
266,52,identical,pun,0.685723498,7.321396438,"The driver at the toll insisted it wasn't #fare."
267,58,identical,pun,0.470869445,7.204501278,"She didn't want to clean up but I #maid her."
268,60,identical,pun,0.004135479,8.569202769,"He cried when he woke up. It was #mourning."
269,28,identical,pun,0.032749793,7.180238302,"The mime wanted to say something but he was not #aloud."
270,16,identical,pun,0.202374832,6.815777224,"A boy who instinctively waves at people has a natural #hi."
271,225,identical,nonpun,8.60E-20,7.010397279,"He #knows almost every word in the dictionary."
272,150,identical,nonpun,7.68E-06,7.934920671,"We learned about how a #cell works in biology."
273,315,near,nonpun,1.02E-11,7.94860075,"He was able to see clearly after getting glasses."
274,28,near,pun,0.010627198,9.177743605,"I like to stay current with the electrifying adventures of Sherlock ohms."
275,224,near,nonpun,5.72E-07,7.618173961,"A thief stole my luggage at the airport."
276,21,near,pun,0.007051803,9.879924947,"Even though Ashley was blind and under arrest, she still had hope that someone would braille her out."
277,69,near,pun,1.10E-05,7.823530943,"Tinker Bell was arrested for being suspiciously high. But in the end she was only fined for glittering."
278,203,near,nonpun,3.46E-06,7.914777396,"Irrigation�is the artificial application of water to the land or soil"
279,13,near,pun,0.157119847,8.079593753,"An astronaut gets to take a turn as a whirled traveler."
280,235,near,nonpun,6.87E-05,6.537253133,"I seized his arm so he couldn't run away."
281,266,near,nonpun,3.49E-13,7.458962629,"Smoking is a bad habit."
282,270,near,nonpun,5.87E-12,7.146687797,"He has a bad temper and is easily angered."
283,32,near,pun,7.94E-05,6.732166745,"If you write bad things about me I am libel to sue you."
284,64,near,pun,0.184017977,7.8776504,"The robber baron was a commander in thief."
285,54,near,pun,0.035407327,6.902870182,"Some children are often on their pest behavior."
286,44,near,pun,0.000111653,8.814293055,"My two uncles bet who would get married first. Then one upped the auntie."
287,199,near,nonpun,4.58E-06,7.247308458,"A raven is a large black bird."
288,41,near,pun,0.019165097,8.474786872,"My boss does not tolerate any beards or mustaches. He is a real shave driver."
289,280,near,nonpun,1.59E-06,6.529336976,"Alcohol burns easily."
290,301,near,nonpun,1.18E-07,7.087170325,"The amount that her business makes is always doubling every year."
291,66,near,pun,5.51E-10,8.349981714,"The twin girls rented flora to offices. They called their business 'Sisterhood of the Traveling Plants'."
292,17,near,pun,0.320627382,7.876054751,"At a pet store: 'buy one dog, get one flea'."
293,262,near,nonpun,6.43E-07,6.634145652,"The boss called his workers together on the spur of the moment.�"
294,61,near,pun,5.74E-05,7.912995004,"The Irish should be rich because their capital is always Dublin."
295,293,near,nonpun,6.50E-13,7.720323706,"He decided to leave his car in the parking lot."
296,14,near,pun,0.636066983,9.031848484,"As a young boy, Brutus' mother often cautioned him not to run with Caesars."
297,225,near,nonpun,1.17E-12,7.002399072,"The Industrial Revolution changed how people worked and lived."
298,71,near,pun,1.05E-05,7.108070262,"To some Christmas is about other people's presence."
299,183,near,nonpun,0.000455942,7.125049165,"The city's buildings are covered with grime."
300,202,near,nonpun,5.74E-09,8.272548733,"Clay Aiken rose to fame after he won American Idol. "
301,79,near,pun,0.208241372,7.692286609,"Why are Italians so good at making coffee? Because they really know how to espresso themselves."
302,316,near,nonpun,2.58E-09,7.958501163,"They are very considerate and always offer to give me a ride."
303,43,near,pun,0.0056045,7.922407015,"My neighbor's sprinkler is a constant irrigation to me."
304,272,near,nonpun,3.58E-11,7.251251854,"Rental contracts state that tenants are liable for damages that they cause to the property."
305,67,near,pun,0.01548299,8.986181681,"There was a dentist who was convicted of incisor trading."
306,77,near,pun,0.053972182,7.976440828,"When the crop was destroyed, there was no more cranberry source."
307,68,near,pun,0.67071365,8.27102446,"They were the quietest burglars in the history of New York City. The newspapers called them 'Criminal Mimes.'"
308,74,near,pun,0.282748426,7.534061467,"What would be the brand name of the highest quality copy paper money could buy? The ream of the crop!"
309,254,near,nonpun,2.34E-14,8.906205265,"Hairdressers use scissors to cut people's hair."
310,292,near,nonpun,1.15E-13,6.965206812,"She arranged the newspapers in order by their dates."
311,55,near,pun,0.054678772,7.139473609,"Some people have to get up for work at the crank of dawn."
312,247,near,nonpun,1.25E-13,7.834808407,"She decided to purchase a new car."
313,182,near,nonpun,3.64E-06,6.879623499,"He decided to donate his sperm."
314,178,near,nonpun,0.003021926,7.114815067,"The dentist replaced two fillings I had lost.�"
315,20,near,pun,0.240417834,6.986221285,"Dentists don't like a hard day at the orifice."
316,278,near,nonpun,2.69E-06,6.654030659,"I have a magnet on my desk that holds paper clips."
317,177,near,nonpun,1.97E-06,7.894866957,"His dog has fleas."
318,243,near,nonpun,0.000326613,7.059650746,"When he drinks wine, he starts acting sillier."
319,1,near,pun,0.564827298,7.78019031,"A circus truck driver refused to tow the lion."
320,317,near,nonpun,5.64E-08,8.243743751,"I love to eat chocolate sauce on vanilla ice cream."
321,174,near,nonpun,0.002570336,6.895794222,"The owner behaves like a little Caesar with his employees."
322,185,near,nonpun,1.60E-08,8.781428005,"Our company pays everyone a bonus at the end of the year."
323,60,near,pun,0.006946919,7.552511089,"The garden club visited the nursery and found themselves in a hosta environment."
324,162,near,nonpun,8.92E-05,7.655447819,"A dentist examines one tooth at a time."
325,24,near,pun,0.004196414,7.707848092,"Grandparents faces are full of epoch marks."
326,186,near,nonpun,0.034661186,7.776104243,"My favorite creatures in Lord of the Rings are hobbits."
327,230,near,nonpun,1.19E-07,8.473840557,"Our airplane is flying at an altitude of 35,000 feet."
328,59,near,pun,3.69E-08,10.9956571,"The English Teacher felt odd after being fired: it was post grammatic stress disorder."
329,309,near,nonpun,0.000499182,6.610197443,"She was caught littering and had to pay a fine."
330,212,near,nonpun,0.112733909,7.509269845,"The odor of old fish filled the air."
