idx,sentenceID,punType,sentenceType,ambiguity,distinctiveness,sentence
110,236,near,nonpun,2.3524784513561547e-06,8.154969772681001,"Cervantes is one of the most famous authors in the Spanish language."
111,261,near,nonpun,9.391796525324294e-09,9.721061048760774,"He posted $5,000 bail for his brother's release from jail.�"
112,211,near,nonpun,4.8322462414035716e-08,9.003524681871175,"I like to eat lima beans and black beans."
113,291,near,nonpun,6.742904018073535e-15,7.644234967530965,"It has been a long time since we saw each other."
114,176,near,nonpun,0.00025275260359841585,8.280216399313053,"Our apple tree was in bloom last week.�"
115,181,near,nonpun,1.0090092957432021e-07,9.271160736753519,"He reads braille with his fingertips."
116,303,near,nonpun,4.572905472395488e-09,8.826590922933459,"Trains go across a bridge over the river."
117,245,near,nonpun,3.187532794134406e-08,9.00911999175144,"The chairman made some closing remarks at the end of the meeting."
118,165,near,nonpun,8.488862597636503e-09,7.869081368859986,"Food and clothing are basic necessities."
119,215,near,nonpun,0.0008388217745454447,7.505949144566916,"He is often a crank in the morning."
120,314,near,nonpun,1.0895697212902838e-10,8.027573006804175,"Butter is made from cream."
121,263,near,nonpun,9.53527253116311e-13,10.640844082280124,"The police fight crime, murder, theft, and drug dealing."
122,233,near,nonpun,2.17572660288905e-06,8.387768630302936,"She has good digestion; she can eat anything!"
123,221,near,nonpun,2.055961452728696e-06,9.117903812937973,"Dublin is the capital of Ireland."
124,208,near,nonpun,2.441879490693265e-06,7.827914384247048,"Eire is a former name for the Republic of Ireland."
125,48,near,pun,6.362944933402799e-05,7.881049916625351,"People have a happy time vacationing in Ireland because they are walking on Eire."
126,319,near,nonpun,2.1877256688995358e-14,8.167692635853166,"She should learn to express her feelings better."
127,288,near,nonpun,1.2089284931337038e-07,7.962821836734811,"We sat around the fire to keep warm."
128,285,near,nonpun,2.972933715781851e-13,8.07013496747768,"No one knows what will happen in the future."
129,229,near,nonpun,1.7016172930698137e-08,8.723481080594986,"Her jewels were glittering in the sun."
130,219,near,nonpun,0.0010806913898915057,8.712839678652134,"That sentence has an unusual grammatic structure."
131,23,near,pun,0.13884942658435606,8.428161762611856,"For children to eat without washing their hands would be a grime."
132,290,near,nonpun,7.927605342167608e-05,7.868806711918231,"The dog was just guarding his house; he didn't mean to scare you."
133,289,near,nonpun,2.3942746682213065e-13,9.08380324615325,"I gave my friend some help with her homework."
134,220,near,nonpun,0.031221673197586768,7.6332781248242,"The hosta is a beautiful plant."
135,300,near,nonpun,2.5700636899937e-13,8.014976255048957,"That driver has a hostile attitude."
136,207,near,nonpun,8.713939893453935e-13,7.73762988227324,"Our house is located on the corner."
137,287,near,nonpun,0.1451172947702752,7.6580636240769,"He asked her how's everything going."
138,307,near,nonpun,2.4962374942736194e-11,8.082187290674476,"Insider trading can get you into a lot of trouble."
139,189,near,nonpun,2.4137475852246917e-08,8.099335839377504,"Kant was a German philosopher."
140,29,near,pun,3.5907097092556907e-07,7.715232250335623,"I need to do my philosophy homework but I just Kant."
141,296,near,nonpun,0.00030030352688084925,8.263474203243439,"There was a lag in communications, so he did not hear the news until many days later."
142,271,near,nonpun,9.151978551514212e-10,7.5999084657715645,"She was late for our meeting."
143,15,near,pun,1.0012218215026232e-05,8.921291453718863,"Astronauts like to do launch."
144,255,near,nonpun,5.297633434186777e-10,8.199214640122971,"I had a sandwich for lunch."
145,169,near,nonpun,0.1497108893991582,8.805800182786998,"I have a math exam today at school."
146,232,near,nonpun,0.00027710344745044357,8.416648760335885,"She wore a scarf around her neck."
147,312,near,nonpun,8.320079279711256e-13,7.598707072045329,"The next time that you're late, you'll be in trouble."
148,188,near,nonpun,0.00039989987523579313,8.282036336691624,"Ohms are used to measure electrical resistance."
149,180,near,nonpun,0.03677214291894838,8.7705692900454,"The mouth is an orifice."
150,78,near,pun,0.0019019443405572983,7.75249643603505,"When you use glue in class it paste to be careful."
151,238,near,nonpun,4.4657806199837164e-05,7.632651939066727,"She used paste to put pictures in her notebook."
152,318,near,nonpun,3.5885046469776843e-09,8.569347269876268,"That company pays its employees every two weeks."
153,167,near,nonpun,0.0021157142747294387,8.587234167000988,"Pigeons use the sunny sides of roofs as perches."
154,264,near,nonpun,1.0545670429564782e-07,8.710903616328864,"Smallpox left him with many pock marks."
155,302,near,nonpun,2.1984330573535254e-13,8.100404276933189,"He was sent to prison for robbing a bank."
156,194,near,nonpun,1.342856020915784e-09,9.47113381744538,"He burns propane gas in his stove."
157,234,near,nonpun,7.887195912740192e-06,8.805908063603994,"Our office uses 20 reams of paper each week."
158,8,near,pun,0.07257699537777323,7.621321402906237,"A pun is its own reword."
159,179,near,nonpun,0.0034213219694118036,7.643495933229263,"The dog's salivation was all over the carpet."
160,187,near,nonpun,2.266707126347054e-07,7.677723019667608,"She started screaming when the man pulled out a knife."
161,267,near,nonpun,8.164815416388386e-06,7.729789748421464,"They went to the movie screening together."
162,237,near,nonpun,2.9608708049308265e-07,7.800940800057636,"The source of our difficulties is not having enough money."
163,252,near,nonpun,7.940381270913859e-13,8.50888502821023,"A birthday party is a special occasion."
164,250,near,nonpun,0.0006974932130292353,7.80659801199701,"A steeler is something that is covered in steel."
165,277,near,nonpun,7.99641795134894e-07,8.535996805733205,"I was talking to my friend the whole time."
166,190,near,nonpun,0.007847164902641653,7.710339345510084,"The barista used a tamper to press down the coffee."
167,286,near,nonpun,7.735080511450884e-13,8.381053374529333,"She tells a story to her child each night."
168,206,near,nonpun,9.408645797190866e-07,8.889002317944335,"Farmers till the soil in the springtime.�"
169,46,near,pun,0.01996615200840597,8.864143967687063,"On organic farms they till it like it is."
170,298,near,nonpun,2.963994229906369e-07,8.35866707837807,"The car accident was a very traumatic experience for her."
171,299,near,nonpun,9.178488880016916e-13,8.81365440487725,"That traumatic incident left her scarred."
172,242,near,nonpun,1.3514146818581512e-10,7.554833226441031,"She always speaks the truth."
173,273,near,nonpun,0.0001865684056049716,8.348653130661642,"I twisted two pieces of thread on a needle."
174,251,near,nonpun,3.6890169928375407e-09,7.575636197217885,"A wicked man took the child from his parents."
175,171,near,nonpun,2.140134204246379e-05,7.987445793052763,"That chair is made of wicker."
176,196,near,nonpun,1.1425433875824974e-06,8.898226356690444,"Some people eat yams with their turkey."
177,27,identical,pun,0.00017557470555465068,9.382913551258273,"Being able to fit size fourteen shoes is quite a #feet."
178,13,identical,pun,0.15785462819318768,8.140238492390498,"The young pine sapling was admonished by his father. Apparently he had been #knotty."
179,154,identical,nonpun,2.287456258433971e-08,9.884841720851886,"He tried to steal honey but was stung by an angry #bee."
180,160,identical,nonpun,8.007802386285108e-05,7.651061218835449,"I answered with a string of #no's."
181,42,identical,pun,2.0955033150299338e-05,9.494981453942613,"If you could ask someone anything about trees what #wood you ask?"
182,18,identical,pun,0.004268653586902323,8.688054746154329,"Authors in jail have their #prose and cons."
183,34,identical,pun,0.060644419056118753,9.005901828937532,"If you say you have bad skin I would say that was a #pore excuse."
184,122,identical,nonpun,6.0334437499725394e-05,7.873019620125959,"She was in a #daze after learning the bad news."
185,3,identical,pun,0.5535885792833449,10.024082862609179,"Bakers trade bread recipes on a #knead to know basis."
186,20,identical,pun,0.00020297704044288194,8.109361022835127,"I saw a beaver movie last night. It was the best #dam movie I have ever seen."
187,125,identical,nonpun,8.989254367956441e-10,8.973744977352274,"That beaver is building a #dam with logs and sticks."
188,62,identical,pun,0.3244572003356931,8.788828008328931,"The fisherman couldn't believe what he caught; he didn't think it was #reel."
189,180,identical,nonpun,6.117685150792485e-06,7.572940803142764,"I believe in the #principle of physics."
190,55,identical,pun,2.710481383184318e-05,7.650304073356898,"Mother #no's best."
191,106,identical,nonpun,8.717442198631493e-07,9.198048664545903,"Daniel is a biblical #prophet known for interpreting dreams."
192,64,identical,pun,0.5867614036382917,9.06132856399134,"All the birds in the parish were birds of #pray."
193,32,identical,pun,2.8510125252674438e-06,10.873200193153508,"Britain is a wet place since the queen has had a long #reign."
194,51,identical,pun,0.0014442286435906427,10.949436737828599,"The pastry chef brought his girlfriend #flours on Valentine's Day."
195,158,identical,nonpun,2.788307389645989e-07,8.152130428841607,"His #heel was bruised from walking too much."
196,111,identical,nonpun,1.3127215055464437e-07,9.57042362167679,"Pollsters conducted a #poll on the popularity of the political candidates."
197,26,identical,pun,0.09110768873779632,9.251572007623995,"A cardboard belt would be a #waist of paper."
198,50,identical,pun,0.004783990313295589,7.650538246466739,"You should run really fast but be careful not to #brake anything."
199,155,identical,nonpun,0.021503546735439798,8.380740769982422,"Cars should #brake slowly."
200,30,identical,pun,0.38575048545632706,8.931606522688295,"A man's home is his castle in a #manor of speaking."
201,7,identical,pun,0.11372682678499534,9.201524249945503,"At some executive meetings there is a chairman of the #bored."
202,43,identical,pun,0.34400810824912414,10.271688764141112,"The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grader."
203,213,identical,nonpun,1.271565872253306e-11,8.679939410932324,"The cheese #grater slices the cheese."
204,31,identical,pun,6.521971358799819e-07,10.087070568070768,"An online poker tournament ended suddenly when the computer #cached in its chips."
205,4,identical,pun,0.003399915746129468,11.692054728795986,"The indecisive rower could not choose either #oar."
206,159,identical,nonpun,7.624969891043355e-07,8.780715788778227,"We sang a #hymn in church."
207,2,identical,pun,0.00031880730901082235,7.565498451104312,"I get my large circumference from too much #pi."
208,202,identical,nonpun,3.738660640256496e-12,7.668558040072413,"#Rain fell on the city last night."
209,15,identical,pun,0.00017745117246438665,8.548560181472293,"I dropped out of communism class because of lousy #Marx."
210,134,identical,nonpun,6.942580061693633e-06,8.541947260776576,"A worker filled a #pail with water to clean the floor."
211,35,identical,pun,0.6139928386201021,8.098693360344749,"People who like gold paint have a #gilt complex."
212,46,identical,pun,7.415802007720733e-05,10.489425395878332,"It will cost you more than a #scent to get rid of that smell."
213,65,identical,pun,0.0010094903235273287,10.008864861547654,"If you want to make it all the way to a tree farm you had better take a different #root."
214,10,identical,pun,0.00025091461566872713,7.779837697753413,"It was not school john disliked. It was just the #principal of it."
215,8,identical,pun,1.9793112262355743e-08,7.828419447738304,"Did you know that donuts were first made in #Greece?"
216,226,identical,nonpun,3.8612134397091137e-10,8.592905790547741,"Come #in the room and close the door."
217,192,identical,nonpun,3.903992184216435e-05,7.646381405862261,"She bought a #roll of silk to make a dress."
218,234,identical,nonpun,1.2360717045939102e-11,8.419747175896171,"That mouse could easily be the eagle's #prey."
219,5,identical,pun,0.012695620799970653,8.886696688601413,"It was an emotional wedding. Even the cake was in #tiers."
220,33,identical,pun,0.6906638523334937,10.34523699152081,"Herb gardeners who work extra get #thyme and a half."
221,19,identical,pun,0.2738184957171409,8.771637936574907,"Do not expect to eat something fancy when you are flying because it is #plane food."
222,176,identical,nonpun,1.3998407586215098e-06,7.841244306755973,"She raised a flag up the #pole. "
223,6,identical,pun,0.0030816620310499207,8.407467286157976,"A new country decided to conduct a flag #poll."
224,200,identical,nonpun,3.121509829124693e-08,7.503065561894697,"There was all #manner of food at the party."
225,140,identical,nonpun,8.87596267565021e-05,7.501017919598372,"She covered the frame with #gilt."
226,114,identical,nonpun,8.586992452097683e-07,7.85725578126853,"In mathematics the #sine function is a function of an angle."
227,40,identical,pun,0.10836375397284304,9.199143505904395,"When the mayor wanted to slash the budget he turned to a fund #razor."
228,120,identical,nonpun,2.4315896564013303e-08,9.232077909315173,"Karl #Marx was a german philosopher."
229,61,identical,pun,0.2637212415333693,8.806540998133922,"The butcher was very glad we could #meat."
230,25,identical,pun,0.35212465580122854,9.034175303007967,"When an actress saw her first strands of gray hair she thought she would #dye."
231,143,identical,nonpun,0.6916706457508663,8.419154472745845,"It is hard even for a soprano to sing the high #C's."
232,38,identical,pun,0.6005642841888074,9.597427606801554,"Novice pirates make terrible singers because they cannot hit the high #Cs."
233,115,identical,nonpun,2.0896952457658598e-06,7.663095959748271,"Ms. Wu is the #principal of our local high school."
234,36,identical,pun,0.01676718454481837,7.50241079366239,"To #heir is human."
235,23,identical,pun,0.6142546651027971,9.885533298369749,"The man put his name on the neck of his shirt so he would have #collar ID."
236,53,identical,pun,0.006666523085282307,8.73117108213578,"He injured his foot and now it just won't #heel."
237,45,identical,pun,3.1098876535749724e-05,8.96002871144636,"We didn't know whether to keep our biology program or #cell it."
238,156,identical,nonpun,0.058159670178385525,8.309462921214958,"We use different kinds of #flours in baking."
239,39,identical,pun,0.3371615558907075,11.48687938218833,"An electrician is a bright spark who knows what's #watt."
240,14,identical,pun,0.6223449777981008,9.029382465904993,"To learn rope tricks you have to be #taut."
241,166,identical,nonpun,7.103883229303528e-07,7.92695512114639,"Vegetarians don't like #meat."
242,239,near,nonpun,0.410242915682268,7.722727012615986,"I like an espresso after dinner."
243,108,identical,nonpun,0.00302767257806973,10.629526622501295,"Bakers #knead flour and milk together to make bread dough."
244,138,identical,nonpun,0.024083416633144412,9.076210848371336,"One of my favorite meals is chicken in a creamy sauce flavored with #thyme."
245,177,identical,nonpun,2.1810628797111935e-15,8.900404618519254,"He has a meeting with the company's #board of directors."
246,22,identical,pun,9.358996286381465e-07,8.458409389405276,"The actors had one great movie after another. They were on a #role."
247,1,identical,pun,0.4966140391738164,8.32846520943935,"Atheism is a non #prophet organization."
248,130,identical,nonpun,0.0011395079103831299,9.233581198256118,"Some people do not like to #dye their hair."
249,135,identical,nonpun,1.0287252072846228e-06,8.595352765265476,"Those wealthy people live in a huge #manor."
250,228,near,nonpun,0.027741826258091105,8.97462891327069,"The mimes were very skilled at imitating people."
251,54,identical,pun,0.3176085188362793,8.905893768139222,"I wrote a song about my priest so that I could perform it for #hymn."
252,220,identical,nonpun,3.924526630152751e-13,7.952951107943251,"#Break a leg on your performance."
253,48,identical,pun,0.032657581535165264,7.5891696250523815,"Our pet is very #deer to us."
254,127,identical,nonpun,7.593539322460795e-12,8.381606403762872,"She plays the leading #role in a television show."
255,259,near,nonpun,6.086110136628114e-09,8.197746443998017,"The minister prayed for the evil woman's salvation."
256,9,identical,pun,0.013403885086780767,8.050348652776655,"I always prayed before my trigonometry tests. I was hoping for a #sine from above."
257,12,identical,pun,0.44864978791208054,8.866841635834021,"The magician got so mad he pulled his #hare out."
258,47,identical,pun,1.0761706959317372e-05,8.875671202636852,"I tried to stick with the rough class but it was just too #course for my liking."
259,17,identical,pun,0.2474244020214112,8.978231807024525,"A teacher having a tough time longs for the end of the school #daze."
260,199,identical,nonpun,1.3534235962686821e-12,7.877195038529645,"She looks #pale and sick."
261,139,identical,nonpun,0.0033600826636536007,9.77626627089755,"A #pore is a very small opening on the surface of your skin."
262,56,identical,pun,0.15418735556610624,8.997848271537322,"When I stayed at the hotel I made sure I didn't sleep #inn."
263,161,identical,nonpun,0.0007825046575426754,7.5386889649811994,"We stayed at an #inn."
264,57,identical,pun,0.0006641827641147515,9.064919445128364,"We spent some time looking for the celebrity before she realized she didn't want to #idol."
265,269,near,nonpun,2.8060219261231066e-07,7.5951300590774276,"I can't remember the last time that happened."
266,52,identical,pun,0.6056723225607376,8.32142123319599,"The driver at the toll insisted it wasn't #fare."
267,58,identical,pun,0.6685060026926563,8.20452607345329,"She didn't want to clean up but I #maid her."
268,60,identical,pun,0.0010063810085079465,9.569227564303679,"He cried when he woke up. It was #mourning."
269,28,identical,pun,0.011349845490570559,8.180263097840793,"The mime wanted to say something but he was not #aloud."
270,16,identical,pun,0.04448595056847416,7.815802019602502,"A boy who instinctively waves at people has a natural #hi."
271,225,identical,nonpun,1.9359757843638038e-13,8.010422074564147,"He #knows almost every word in the dictionary."
272,150,identical,nonpun,4.629104139607158e-06,8.934945466791028,"We learned about how a #cell works in biology."
273,315,near,nonpun,7.741231813681403e-12,8.948625546104605,"He was able to see clearly after getting glasses."
274,28,near,pun,0.0030063792605333176,10.177768400411258,"I like to stay current with the electrifying adventures of Sherlock ohms."
275,224,near,nonpun,2.3031003865078995e-07,8.618198756438561,"A thief stole my luggage at the airport."
276,21,near,pun,0.001181228502635696,10.87994974272082,"Even though Ashley was blind and under arrest, she still had hope that someone would braille her out."
277,69,near,pun,1.5000339632671528e-06,8.823555738983888,"Tinker Bell was arrested for being suspiciously high. But in the end she was only fined for glittering."
278,203,near,nonpun,4.033447327039544e-06,8.914802191800856,"Irrigation�is the artificial application of water to the land or soil"
279,13,near,pun,0.618453653405858,9.079618548720008,"An astronaut gets to take a turn as a whirled traveler."
280,235,near,nonpun,2.6876825527869898e-05,7.537277928444334,"I seized his arm so he couldn't run away."
281,266,near,nonpun,2.507278778638485e-13,8.458987425163981,"Smoking is a bad habit."
282,270,near,nonpun,4.1417059490551414e-12,8.146712593074628,"He has a bad temper and is easily angered."
283,32,near,pun,4.001220168285847e-05,7.732191540264889,"If you write bad things about me I am libel to sue you."
284,64,near,pun,0.4911324721805198,8.877675196017087,"The robber baron was a commander in thief."
285,54,near,pun,0.12737688305918338,7.902894977720927,"Some children are often on their pest behavior."
286,44,near,pun,2.6309921236600783e-05,9.814317850461343,"My two uncles bet who would get married first. Then one upped the auntie."
287,199,near,nonpun,2.4759110470944254e-06,8.247333254168534,"A raven is a large black bird."
288,41,near,pun,0.003764825421739331,9.474811667322314,"My boss does not tolerate any beards or mustaches. He is a real shave driver."
289,280,near,nonpun,3.695892222899848e-07,7.529361771803256,"Alcohol burns easily."
290,301,near,nonpun,6.706608173563155e-08,8.087195120895347,"The amount that her business makes is always doubling every year."
